name,institution,citation_count,research_interests,scholar_link
Amirreza Aghakhani,University of Stuttgart,"['1950', '1910', '18', '18', '21', '20']","['Microrobotics', 'Microfluidics', 'Acoustics', 'Smart Materials', 'Biomedical Systems']",https://scholar.google.com/citations?hl=ja&user=xA0fBJ0AAAAJ&hl=en
Aamir Ahmad,Hamad Medical Corporation,"['19619', '8879', '78', '52', '205', '192']","['Cancer Research', 'Epigenetics', 'Skin Diseases']",https://scholar.google.com/citations?hl=ja&user=DjoXAZkAAAAJ&hl=en
Buse Aktaş,No institution listed.,"['189', '189', '6', '6', '6', '6']","['robotics', 'jamming', 'programmable metamaterials', 'mechanism design', 'soft robotics']",https://scholar.google.com/citations?hl=ja&user=9WfK-v4AAAAJ&hl=en
Frank  Allgöwer,University of Stuttgart,"['37256', '16858', '89', '60', '496', '274']","['systems theory', 'automatic control', 'control systems', 'networked control', 'model predictive control']",https://scholar.google.com/citations?hl=ja&user=WQYw3oIAAAAJ&hl=en
Kai Arras,Homepage,"['9727', '4593', '51', '35', '103', '71']","['Robotics', 'Social Robotics', 'Human-Robot Interaction', 'Artificial Intelligence', 'Computer Vision']",https://scholar.google.com/citations?hl=ja&user=Nz1kn-8AAAAJ&hl=en
Harald Baayen,University of Tuebingen,"['64078', '26171', '102', '64', '277', '225']","['linguistics', 'statistics', 'morphology', 'cognitive models of language processing']",https://scholar.google.com/citations?hl=ja&user=c31Z9eoAAAAJ&hl=en
Robert Bamler,No institution listed.,"['1412', '712', '17', '10', '25', '10']","['Thermodynamics', 'Energy', 'Viscoelectricity']",https://scholar.google.com/citations?hl=ja&user=LBzgGxoAAAAJ&hl=en
Franz Baumdicker,University of Tübingen,"['953', '800', '10', '9', '10', '9']","['Biomathematics', 'Bacterial evolution', 'Population genetics', 'Machine Learning', 'Evolutionary Bioinformatics']",https://scholar.google.com/citations?hl=ja&user=sohuMcskQZoC&hl=en
Philipp Berens,University of Tübingen,"['14809', '10612', '42', '40', '79', '73']","['Neuroscience', 'Data Science', 'Machine Learning', 'Digital Medicine', 'Medical AI']",https://scholar.google.com/citations?hl=ja&user=lPQLk3QAAAAJ&hl=en
Matthias Bethge,Homepage,"['43062', '36027', '72', '61', '136', '128']","['Computational Neuroscience', 'Machine Learning', 'Vision']",https://scholar.google.com/citations?hl=ja&user=0z0fNxUAAAAJ&hl=en
Wieland Brendel,Homepage,"['14829', '14427', '32', '30', '50', '49']","['machine learning', 'computer vision']",https://scholar.google.com/citations?hl=ja&user=v-JL-hsAAAAJ&hl=en
Andres Bruhn,University of Stuttgart,"['11759', '3323', '40', '26', '73', '45']","['Computer Vision', 'Optical Flow', 'Machine Learning', 'Image Processing', 'Variational Methods']",https://scholar.google.com/citations?hl=ja&user=PtIe6OkAAAAJ&hl=en
Andreas Bulling,University of Stuttgart,"['18622', '12725', '68', '55', '168', '151']","['Human-Computer Interaction', 'Computer Vision', 'Intelligent User Interfaces', 'Eye Tracking']",https://scholar.google.com/citations?hl=ja&user=QURZIzUAAAAJ&hl=en
Martin Butz,Eberhard Karls Universität Tübingen,"['7766', '2571', '49', '24', '154', '77']","['Cognitive Science', 'Machine Learning', 'Cognitive Modeling', 'Bayesian Inference']",https://scholar.google.com/citations?hl=ja&user=dIcpfzAAAAAJ&hl=en
Manfred Claassen,University of Tübingen,"['5882', '4006', '31', '26', '48', '44']",[],https://scholar.google.com/citations?hl=ja&user=xD_I20EAAAAJ&hl=en
Katharina Eggensperger,University of Tübingen,"['8175', '7453', '17', '16', '18', '18']","['AutoML', 'Hyperparameter Optimization', 'Bayesian Optimization', 'Meta-Learning', 'Tabular Data']",https://scholar.google.com/citations?hl=ja&user=ADZN2nwAAAAJ&hl=en
Benedikt Ehinger,University of Stuttgart,"['1143', '1033', '15', '15', '17', '17']","['Statistical & Cognitive Modelling', 'EEG', 'Vision', 'Eye-Tracking']",https://scholar.google.com/citations?hl=ja&user=VKDX28YAAAAJ&hl=en
Carsten Eickhoff,University of Tübingen,"['5344', '3942', '32', '30', '84', '67']","['Natural Language Processing', 'Information Retrieval', 'Digital Health']",https://scholar.google.com/citations?hl=ja&user=QQi1_rAAAAAJ&hl=en
Andreas  Geiger,University of Tübingen,"['69757', '58886', '93', '87', '158', '153']","['computer vision', 'machine learning', 'robotics', 'scene understanding']",https://scholar.google.com/citations?hl=ja&user=SrVnrPcAAAAJ&hl=en
Jonas Geiping,Homepage,"['5284', '5272', '29', '29', '42', '42']","['Machine Learning', 'ML Safety', 'Security', 'Privacy', 'Optimization']",https://scholar.google.com/citations?hl=ja&user=206vNCEAAAAJ&hl=en
Konstantin Genin,University of Tübingen,"['190', '156', '8', '8', '7', '7']","['Formal Epistemology', 'Philosophy of Science', 'Machine Learning']",https://scholar.google.com/citations?hl=ja&user=rhmZWGMAAAAJ&hl=en
Martin Giese,Homepage,"['11807', '4511', '52', '33', '158', '109']","['Theoretical Neuroscience', 'Artificial Intelligence', 'Systems Neuroscience']",https://scholar.google.com/citations?hl=ja&user=ebo0Qn4AAAAJ&hl=en
Moritz Hardt,Max Planck Institute for Intelligent Systems,"['35248', '31007', '51', '49', '75', '71']","['machine learning', 'decision making', 'algorithms']",https://scholar.google.com/citations?hl=ja&user=adnTgaAAAAAJ&hl=en
Florian Hartmann,Max Planck Institute for Intelligent Systems,"['1392', '1341', '11', '11', '13', '13']","['Material Science', 'Hydrogels', 'Soft Robotics', 'Stretchable Electronics', 'Biodegradable Technology']",https://scholar.google.com/citations?hl=ja&user=qQf2uLsAAAAJ&hl=en
Daniel Häufle,Not found,Not found,Not found,Not found
Matthias Hein,University of Tübingen,"['18343', '14300', '62', '50', '126', '113']","['Machine Learning', 'Optimization', 'Statistics']",https://scholar.google.com/citations?hl=ja&user=0ZAb3tsAAAAJ&hl=en
Philipp Hennig,University of Tübingen,"['8692', '7266', '42', '39', '99', '90']","['Probabilistic Numerics', 'Machine Learning', 'Computer Science']",https://scholar.google.com/citations?hl=ja&user=UeG5w08AAAAJ&hl=en
Christian Holm,Københavns Universistet,"['79785', '41894', '133', '108', '388', '367']","['Fysik', 'Particle Physics', 'Heavy Ion Physics']",https://scholar.google.com/citations?hl=ja&user=LpAiccgAAAAJ&hl=en
Andrea Iannelli,University of Stuttgart,"['752', '701', '16', '16', '26', '26']","['Robust control', 'system identification', 'online learning', 'data-driven control', 'optimization']",https://scholar.google.com/citations?hl=ja&user=QUE1zsYMw6sC&hl=en
Christoph Keplinger,Max Planck Institute for Intelligent Systems,"['14800', '10695', '39', '38', '58', '57']","['Artificial Muscles', 'Soft Robotics', 'Robotic Materials', 'Functional Polymers', 'Energy Capture']",https://scholar.google.com/citations?hl=ja&user=spxYg2UAAAAJ&hl=en
Ksenia Keplinger,Max Planck Institute for Intelligent Systems,"['560', '514', '10', '9', '12', '9']","['Diversity', 'Inclusion', 'Leadership', 'Human-Machine Interaction', 'Gig Work']",https://scholar.google.com/citations?hl=ja&user=sJwg_PsAAAAJ&hl=en
Miriam D. Klopotek,Not found,Not found,Not found,Not found
Katherine J. Kuchenbecker,Max Planck Institute for Intelligent Systems,"['9064', '5323', '51', '37', '130', '103']","['Haptics', 'Haptic Interfaces', 'Robotic Surgery', 'Physical Human-Robot Interaction', 'Robotics']",https://scholar.google.com/citations?hl=ja&user=ED5iKYYAAAAJ&hl=en
Hilde Kuehne,University of Tuebingen,"['8100', '6423', '27', '25', '40', '39']","['Multimodal learning', 'Video understanding', 'Action Recognition', 'Computer vision', 'Machine learning']",https://scholar.google.com/citations?hl=ja&user=pxhCcH0AAAAJ&hl=en
Hendrik Lensch,University of Tübingen,"['8296', '3448', '46', '29', '91', '59']","['Appearance Acquisition', 'Computational Photography', '3D-Scanning', 'Machine Learning', 'Massively-Parallel Programming']",https://scholar.google.com/citations?hl=ja&user=2R22h84AAAAJ&hl=en
Anna Levina,University of Tübingen,"['1864', '1019', '17', '15', '24', '18']","['Neural networks', 'self-organized criticality', 'dynamical systems', 'network dynamics', 'percolation theory']",https://scholar.google.com/citations?hl=ja&user=KJSnbQoAAAAJ&hl=en
Nicole Ludwig,Saarland University,"['5416', '4157', '37', '30', '77', '62']",[],https://scholar.google.com/citations?hl=ja&user=eL4IZNMAAAAJ&hl=en
Sabine Ludwigs,No institution listed.,"['8829', '4437', '49', '35', '108', '87']",[],https://scholar.google.com/citations?hl=ja&user=MlaA8UcAAAAJ&hl=en
Jakob Macke,Tübingen University,"['6324', '4795', '39', '33', '68', '58']","['Machine learning', 'AI4Science', 'Computational neuroscience', 'Simulation-based inference']",https://scholar.google.com/citations?hl=ja&user=FKOqtF8AAAAJ&hl=en
Georg Martius,University of Tübingen,"['3619', '3100', '31', '27', '67', '56']","['artificial intelligence', 'robotics', 'machine learning', 'self-organization', 'computational neuroscience']",https://scholar.google.com/citations?hl=ja&user=b-JF-UIAAAAJ&hl=en
Kristof Meding,University of Tübingen,"['296', '291', '6', '6', '6', '6']",['Research Group Lead for Computational Law'],https://scholar.google.com/citations?hl=ja&user=XUezFPYAAAAJ&hl=en
Celestine Mendler-Dünner,Homepage,"['1278', '1180', '18', '18', '24', '23']","['machine learning', 'optimization', 'social dynamics']",https://scholar.google.com/citations?hl=ja&user=UqtDdZUAAAAJ&hl=en
Michael Mühlebach,No institution listed.,"['3541', '2246', '27', '22', '40', '32']","['virology', 'measles virus', 'emerging infections', 'vaccines']",https://scholar.google.com/citations?hl=ja&user=BZUhy2cAAAAJ&hl=en
Sven Nahnsen,Homepage,"['6626', '5870', '29', '25', '40', '37']","['Data Management', 'Bioinformatics', 'Computational Oncology']",https://scholar.google.com/citations?hl=ja&user=DBqeRb4AAAAJ&hl=en
Mathias  Niepert,University of Stuttgart,"['7559', '5651', '36', '25', '71', '58']",['Machine learning'],https://scholar.google.com/citations?hl=ja&user=p5vLzq0AAAAJ&hl=en
Seong Joon Oh,Homepage,"['11423', '11190', '31', '31', '38', '38']","['Machine learning', 'Computer vision']",https://scholar.google.com/citations?hl=ja&user=kmXOOdsAAAAJ&hl=en
